n,p,k,ph,umidade_%,on
0,0,0,3.0,100.00,0
0,0,0,3.0,98.00,0
0,0,0,3.0,96.00,0
0,0,0,3.0,94.00,0
0,0,0,3.0,92.00,0
0,0,0,3.0,90.00,0
0,0,0,3.0,88.00,0
0,0,0,3.0,86.00,0
0,0,0,3.0,84.00,0
0,0,0,3.0,82.00,0
0,0,0,3.0,80.00,0
0,0,0,3.0,78.00,0
1,0,0,3.0,76.00,0
1,0,0,3.0,74.00,0
1,0,0,3.0,72.00,0
1,1,0,3.0,70.00,0
1,1,0,3.0,68.00,0
1,1,1,3.0,66.00,0
1,1,1,3.0,64.00,0
1,1,1,3.0,62.00,0
1,1,1,3.0,60.00,0
1,1,1,3.0,58.00,0
1,1,1,3.0,56.00,0
1,1,1,3.0,54.00,0
1,1,1,3.0,52.00,0
1,1,1,2.0,50.00,0
1,1,1,1.0,48.00,0
1,1,1,3.0,46.00,0
1,1,1,5.0,44.00,0
1,1,1,6.0,42.00,1
1,1,1,6.0,47.00,1
1,1,1,7.0,52.00,1
1,1,1,7.0,57.00,1
1,1,1,7.0,62.00,1
1,1,1,7.0,67.00,1
1,1,1,7.0,72.00,1
1,1,1,7.0,77.00,1
1,1,1,7.0,82.00,0
1,1,1,7.0,80.00,0
1,1,1,7.0,78.00,1
1,1,1,7.0,83.00,0
1,1,1,7.0,81.00,0
1,1,1,7.0,79.00,1
1,1,1,7.0,84.00,0
1,1,1,7.0,82.00,0
